Province,Sector,Year,Investment
Quebec,Construction,2011,52
Quebec,Construction,2012,56
Quebec,Construction,2013,69
Quebec,Construction,2014,66
Quebec,Construction,2015,62
Quebec,Construction,2016,47
Quebec,Construction,2017,56
Quebec,Manufacturing,2011,2650
Quebec,Manufacturing,2012,2643
Quebec,Manufacturing,2013,3010
Quebec,Manufacturing,2014,3337
Quebec,Manufacturing,2015,2657
Quebec,Manufacturing,2016,2578
Quebec,Manufacturing,2017,2994
Ontario,Construction,2011,134
Ontario,Construction,2012,128
Ontario,Construction,2013,130
Ontario,Construction,2014,134
Ontario,Construction,2015,137
Ontario,Construction,2016,100
Ontario,Construction,2017,107
Ontario,Manufacturing,2011,3072
Ontario,Manufacturing,2012,2938
Ontario,Manufacturing,2013,2922
Ontario,Manufacturing,2014,3023
Ontario,Manufacturing,2015,3224
Ontario,Manufacturing,2016,2725
Ontario,Manufacturing,2017,3186