Type of work,Full-time employees 5,,,,,,,,,,,,,,,,Part-time employees 6,,,,,,,,,,,,,,,,Full-time employees 5,,,,,,,,,,,,,,,,Part-time employees 6,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS) 4,Construction,,,,,,,,Manufacturing,,,,,,,,Construction,,,,,,,,Manufacturing,,,,,,,,Construction,,,,,,,,Manufacturing,,,,,,,,Construction,,,,,,,,Manufacturing,,,,,,,
Sex,Males,,,,Females,,,,Males,,,,Females,,,,Males,,,,Females,,,,Males,,,,Females,,,,Males,,,,Females,,,,Males,,,,Females,,,,Males,,,,Females,,,,Males,,,,Females,,,
Age group,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over,15 years and over,15 to 24 years,25 to 54 years,55 years and over
2011,25.44,18.54,26.41,27.2,19.87,15.26,20.13,21.7,22.95,16.11,23.67,22.92,18.82,13.68,19.44,17.09,19.26,16.56,22,x,17.85,x,20.23,x,14.24,11.96,17.02,16.3,15.9,11.46,18.07,16.03,25.14,16.52,26.8,28.06,20.67,14.69,21.44,20.57,25.28,15.35,25.95,25.77,21.01,14.17,21.81,19.83,17.89,12.66,22.92,18.7,19.02,x,19.27,20.23,17.71,12.37,19.18,26.57,16.29,12.55,18.08,17.36
2012,26.07,20.73,27.27,25.83,20.23,x,20.86,19.21,23.53,15.08,24.45,23.54,20.3,15.52,21.08,18.19,19.4,14.92,21.19,22.9,18.43,x,22.77,x,16.06,12.64,20.6,15.56,15.5,10.49,18.59,15.92,25.3,16.29,26.79,27.46,21.02,16.05,22.25,16.24,25.75,15.65,26.32,27.18,20.54,14.71,21.09,19.71,17.35,13.02,21.61,20.42,16.18,11.45,17.92,x,18.16,13.87,20.5,21.46,16.85,12.59,18.1,18.58
2013,26.81,19.77,27.92,29.01,20.96,16.4,21.96,20.56,23.97,15.44,24.7,24.59,19.77,14.49,20.55,17.63,19.04,13.01,23.1,23.62,18.95,x,18.89,22.45,17.48,13.2,17.68,24.37,17.17,10.99,20.08,16.91,25.97,17.26,27.44,29.76,21.86,15.15,22.42,22.88,25.89,16.02,26.54,26.79,22.3,15.6,22.73,22.29,18.27,13.96,20.19,25.23,20.43,12.5,20.06,x,17.34,14.26,18.15,21.53,16.42,11.66,19.33,17.86
2014,27.31,21.04,28.55,26.98,21.35,x,22.65,18.46,24.93,16.57,25.99,24.02,20.93,15.44,21.61,19.99,21.8,14.96,25.15,25.52,18.59,x,x,20.71,17.52,13.76,20.15,20.98,15.09,12.21,17.16,16.16,26.44,17.61,28.03,29.96,23.15,16.28,23.3,24.88,26.7,16.09,27.29,28.15,21.32,15.35,21.93,20.58,20.53,14.64,22.67,25.78,19.86,x,19.3,24.15,16.88,12.8,19.62,19.55,15.58,13.11,15.73,17.65
2015,27.64,20.28,28.58,29.63,23.31,17.19,25.79,19.26,25.08,18.03,25.89,25.25,21.21,14.58,21.78,21,20.9,16.45,22.15,x,19.06,x,19.26,x,15.72,13.74,16.24,19,16.64,12.79,17.63,19.07,28.16,17.36,29.83,31.63,23.56,16.06,24.54,23.61,26.96,16.64,27.81,27.96,21.87,15.8,22.89,20.29,20.49,14.67,24.35,23.59,20.27,x,22.27,18.47,16.15,13.52,17.77,19.19,18.41,12.85,16.89,27.99
2016,28.99,22.32,29.83,30.18,23.79,18.53,25.39,20.72,25.74,17.01,26.96,25.41,21.22,17.17,21.89,20.04,23.78,x,24.02,27.23,17.24,x,19.16,x,21.07,14.37,23.25,28.82,16.01,12.59,15.67,19.89,28.39,18.42,29.84,31.31,23.92,15.53,25.1,22.74,27.07,17.64,27.42,29.06,22.04,16.02,22.94,20.66,21.1,16.33,20.75,31.8,21.09,x,20.7,23.68,19.65,13.43,18.12,30.55,18.35,14.38,18.45,22.46
2017,30.12,20.39,31.77,30.88,24.13,x,25.52,21.52,26.59,16.76,27.82,26.19,21.79,15.63,23.01,19.32,23.65,15.12,25.55,30.05,20.59,x,21.37,x,17.97,13.55,17.73,27.35,16.74,12.98,17.97,19.1,28.29,18.24,29.91,31.03,24.67,18.19,25.34,26.59,26.69,18.27,27.11,28.72,21.95,16.35,22.97,20.63,22.15,15.73,25.27,27.29,19.26,14.78,19.94,20.33,17.91,14.28,19.4,25.42,17.71,12.86,18.93,17.89